type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
long,2025-12-18 23:10:00+00:00,2025-12-19 03:15:00+00:00,208.23400451660157,208.28371124267576,5.0,4.97,Stop Loss
long,2025-12-19 05:55:00+00:00,2025-12-19 12:50:00+00:00,208.66599609375,210.22791290283203,156.2,156.19,Stop Loss
short,2025-12-19 12:55:00+00:00,2025-12-19 13:50:00+00:00,210.25499389648436,210.33999633789062,-10.5,-10.5,Signal (ST Flip / EMA Cross)
short,2025-12-19 14:15:00+00:00,2025-12-19 14:20:00+00:00,210.26300476074218,210.35699462890625,-11.4,-11.4,Signal (ST Flip / EMA Cross)
short,2025-12-22 00:10:00+00:00,2025-12-22 00:35:00+00:00,210.81799743652343,211.01199340820312,-21.4,-21.4,Signal (ST Flip / EMA Cross)
short,2025-12-22 00:40:00+00:00,2025-12-22 01:00:00+00:00,210.8499951171875,210.9770050048828,-14.7,-14.7,Signal (ST Flip / EMA Cross)
short,2025-12-22 01:05:00+00:00,2025-12-22 03:05:00+00:00,210.8739971923828,210.88900756835938,-3.5,-3.5,Signal (ST Flip / EMA Cross)
long,2025-12-22 03:05:00+00:00,2025-12-22 03:50:00+00:00,210.90900756835939,210.69200592041014,-21.7,-21.7,Stop Loss
short,2025-12-22 03:50:00+00:00,2025-12-22 05:05:00+00:00,210.68799255371093,210.84100341796875,-17.3,-17.3,Signal (ST Flip / EMA Cross)
short,2025-12-22 05:15:00+00:00,2025-12-22 05:30:00+00:00,210.73399780273436,210.8070068359375,-9.3,-9.3,Signal (ST Flip / EMA Cross)
short,2025-12-22 05:40:00+00:00,2025-12-22 05:55:00+00:00,210.74800537109374,210.81300354003906,-8.5,-8.5,Signal (ST Flip / EMA Cross)
short,2025-12-22 06:15:00+00:00,2025-12-22 06:50:00+00:00,210.70000122070311,210.84800720214844,-16.8,-16.8,Signal (ST Flip / EMA Cross)
short,2025-12-22 06:55:00+00:00,2025-12-22 07:00:00+00:00,210.72600219726561,210.81500244140625,-10.9,-10.9,Signal (ST Flip / EMA Cross)
short,2025-12-22 16:05:00+00:00,2025-12-22 17:10:00+00:00,211.15799377441405,211.23599243164062,-9.8,-9.8,Signal (ST Flip / EMA Cross)
short,2025-12-22 22:15:00+00:00,2025-12-22 23:00:00+00:00,211.21599243164061,211.3699951171875,-17.4,-17.4,Signal (ST Flip / EMA Cross)
short,2025-12-22 23:20:00+00:00,2025-12-23 07:10:00+00:00,211.19299743652343,210.50399780273438,66.9,66.9,Signal (ST Flip / EMA Cross)
short,2025-12-23 07:40:00+00:00,2025-12-23 07:50:00+00:00,210.3810009765625,210.53399658203125,-17.3,-17.3,Signal (ST Flip / EMA Cross)
long,2025-12-23 10:00:00+00:00,2025-12-23 12:00:00+00:00,210.6189990234375,210.55099487304688,-8.8,-8.8,Signal (ST Flip / EMA Cross)
long,2025-12-23 12:10:00+00:00,2025-12-23 12:35:00+00:00,210.64399291992189,210.55299377441406,-11.1,-11.1,Signal (ST Flip / EMA Cross)
long,2025-12-23 13:00:00+00:00,2025-12-23 15:00:00+00:00,210.7020068359375,210.75199584960936,5.0,5.0,Stop Loss
short,2025-12-23 15:20:00+00:00,2025-12-23 18:50:00+00:00,210.81399963378905,210.6959991455078,9.8,9.8,Signal (ST Flip / EMA Cross)
short,2025-12-23 23:10:00+00:00,2025-12-23 23:40:00+00:00,210.8790020751953,211.0760040283203,-21.7,-21.7,Signal (ST Flip / EMA Cross)
short,2025-12-24 00:00:00+00:00,2025-12-24 00:25:00+00:00,210.80000732421874,211.07699584960938,-29.7,-29.7,Signal (ST Flip / EMA Cross)
short,2025-12-24 00:30:00+00:00,2025-12-24 03:35:00+00:00,210.90399597167968,210.7050018310547,17.9,17.9,Signal (ST Flip / EMA Cross)
short,2025-12-24 04:35:00+00:00,2025-12-24 08:05:00+00:00,210.51399658203124,210.58700561523438,-9.3,-9.3,Signal (ST Flip / EMA Cross)
short,2025-12-24 08:30:00+00:00,2025-12-24 08:35:00+00:00,210.44099853515624,210.56900024414062,-14.8,-14.8,Signal (ST Flip / EMA Cross)
short,2025-12-24 11:40:00+00:00,2025-12-24 11:50:00+00:00,210.58800170898436,210.6540069580078,-8.6,-8.6,Signal (ST Flip / EMA Cross)
short,2025-12-24 12:00:00+00:00,2025-12-24 13:15:00+00:00,210.5820050048828,210.64500427246094,-8.3,-8.3,Signal (ST Flip / EMA Cross)
short,2025-12-24 13:25:00+00:00,2025-12-24 13:30:00+00:00,210.57100341796874,210.64100646972656,-9.0,-9.0,Signal (ST Flip / EMA Cross)
short,2025-12-24 14:25:00+00:00,2025-12-24 17:15:00+00:00,210.49699829101561,210.4080047607422,6.9,6.9,Signal (ST Flip / EMA Cross)
short,2025-12-24 19:35:00+00:00,2025-12-24 21:05:00+00:00,210.24699829101561,210.40899658203125,-18.2,-18.2,Signal (ST Flip / EMA Cross)
